 Count  Overhead File                                                                                                             Line Function
    81         0 @RTM/src/lidf.jl                                                                                                   14 dcum(::Float64, ::Float64, ::Int64)
    83        79 @RTM/src/suits.jl                                                                                                  44 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    93         0 @Base/special/trig.jl                                                                                              41 sin(::Float64)
    96        92 @RTM/src/suits.jl                                                                                                  40 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    96        94 @RTM/src/suits.jl                                                                                                  42 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    97        95 @RTM/src/suits.jl                                                                                                  35 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    99        96 @RTM/src/suits.jl                                                                                                  41 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
   104       104 @Base/abstractarray.jl                                                                                           1461 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
   110        95 @RTM/src/suits.jl                                                                                                  16 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
   121       121 @Base/float.jl                                                                                                    403 -
   123       122 @RTM/src/volscatt.jl                                                                                               57 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
   126         0 @Base/boot.jl                                                                                                     414 Array
   130       130 @RTM/src/suits.jl                                                                                                  38 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
   133         0 @Base/special/trig.jl                                                                                              75 sin_kernel
   137        30 @Base/special/trig.jl                                                                                              46 sin(::Float64)
   137       137 @Base/float.jl                                                                                                    401 +
   140       139 @RTM/src/suits.jl                                                                                                  34 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
   141       141 @RTM/src/suits.jl                                                                                                  37 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
   157       146 @Base/abstractarray.jl                                                                                           1455 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
   165         8 @Base/special/trig.jl                                                                                              48 sin(::Float64)
   181       179 @RTM/src/suits.jl                                                                                                  43 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
   192       189 @RTM/src/volscatt.jl                                                                                               82 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
   194       194 @Base/boot.jl                                                                                                     405 Array
   225       223 @RTM/src/volscatt.jl                                                                                               81 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
   278       278 @Base/tuple.jl                                                                                                     81 indexed_iterate
   323       323 @Base/float.jl                                                                                                    405 *
   378         7 @Base/abstractarray.jl                                                                                           1445 _cat_t
   403       403 @RTM/src/volscatt.jl                                                                                               90 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
   412         0 @Base/abstractarray.jl                                                                                           1435 _cat
   412         0 @Base/abstractarray.jl                                                                                           1437 #cat_t#109
   412         0 @Base/abstractarray.jl                                                                                           1437 cat_t##kw
   412         0 @Base/abstractarray.jl                                                                                           1502 vcat
   412         0 @Base/abstractarray.jl                                                                                           1564 #cat#110
   412         0 @Base/abstractarray.jl                                                                                           1564 cat##kw
   678        22 @RTM/src/lidf.jl                                                                                                   13 dcum(::Float64, ::Float64, ::Int64)
   986         0 @Base/broadcast.jl                                                                                                820 materialize
  1366         0 @RTM/src/sail.jl                                                                                                   31 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
  1410        37 @RTM/src/suits.jl                                                                                                  17 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
  2809        20 @RTM/src/sail.jl                                                                                                   38 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
  4597         5 @RTM/src/sail.jl                                                                                                   13 foursail
  4616         0 @RTM/src/pro4sail.jl                                                                                                5 foursail_lrt(::Array{Float64,2}, ::Array{Float64,1}, ::Int64)
  4617         1 @RTM/src/pro4sail.jl                                                                                               12 prospect4_4sail(::Float64, ::Float32, ::Float64, ::Float64, ::Int64, ::Array{Float64,1})
  4659         0 @Base/broadcast.jl                                                                                                564 getindex
  4659         0 @Base/broadcast.jl                                                                                                604 _broadcast_getindex
  4659         0 @Base/broadcast.jl                                                                                                631 _broadcast_getindex_evalf
  4659         0 @Base/broadcast.jl                                                                                                820 materialize(::Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{2},Nothing,typeof(prosail_av),Tuple{Float64,Array{Float32,2},Float64,Float64,Int64,Float64}})
  4659         0 @Base/broadcast.jl                                                                                                840 copy
  4659         0 @Base/broadcast.jl                                                                                                864 copyto!
  4659         0 @Base/broadcast.jl                                                                                                909 copyto!
  4659         0 @Base/broadcast.jl                                                                                                910 macro expansion
  4659         0 @Base/simdloop.jl                                                                                                  77 macro expansion
  4659         0 @RTM/src/pro4sail.jl                                                                                               31 prospect4_4sailh
  4659         0 REPL[18]                                                                                                            1 prosail_av(::Float64, ::Float32, ::Float64, ::Float64, ::Int64, ::Float64)
  4660         0 /Users/julia/buildbot/worker/package_macos64/build/usr/share/julia/stdlib/v1.4/REPL/src/REPL.jl                    86 eval_user_input(::Any, ::REPL.REPLBackend)
  4660         0 /Users/julia/buildbot/worker/package_macos64/build/usr/share/julia/stdlib/v1.4/REPL/src/REPL.jl                   118 macro expansion
  4660         0 @Base/task.jl                                                                                                     358 (::REPL.var"#26#27"{REPL.REPLBackend})()
  4660         1 @Base/boot.jl                                                                                                     331 eval(::Module, ::Any)
Total snapshots: 4807
